,date,jumlahpenderita
0,2021-12-31,23.48573663987872
1,2022-01-01,27.16527402146583
2,2022-01-02,22.23551933491484
3,2022-01-03,22.889212504920945
4,2022-01-04,33.45616653734066
5,2022-01-05,43.64897161787027
6,2022-01-06,28.34949448691661
7,2022-01-07,22.904140697836365
8,2022-01-08,39.7568200279481
9,2022-01-09,33.52910333914782
10,2022-01-10,23.858015926316096
11,2022-01-11,30.43061198543779
12,2022-01-12,27.111283772748237
13,2022-01-13,37.89126513180506
14,2022-01-14,30.418319869072885
15,2022-01-15,36.09050623120354
16,2022-01-16,22.35465607013193
17,2022-01-17,22.23551933491484
18,2022-01-18,28.689409763862557
19,2022-01-19,34.36288520333549
20,2022-01-20,22.904140697836365
21,2022-01-21,28.34949448691661
22,2022-01-22,25.00882088349466
23,2022-01-23,22.284643948037907
24,2022-01-24,22.35465607013193
25,2022-01-25,30.418319869072885
26,2022-01-26,26.53746155659365
27,2022-01-27,23.455989208492834
28,2022-01-28,23.455989208492834
29,2022-01-29,24.56674019534853
